version,submitted.date,decision.date,EJP.decision,days.to.decision,manuscript.number,related.manu,number.authors,doi,ready.for.production.date,category,manuscript.type,submission.date,is.resubmission,person.id,review.recommendation,review.start,review.return,days.to.review,version.reviewed
0,2014-01-01  21:48:56,2014-01-21  08:39:00,Revise only,19.451435185185186,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,155374,Revise only,2014-01-06  12:42:57,2014-01-20  23:53:00,14.4653125,0
0,2014-01-01  21:48:56,2014-01-21  08:39:00,Revise only,19.451435185185186,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,31656,Reject,2014-01-06  21:28:08,2014-01-15  19:46:37,8.929502314814815,0
0,2014-01-01  21:48:56,2014-01-21  08:39:00,Revise only,19.451435185185186,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,215709,Revise only,2014-01-07  04:34:11,2014-01-08  01:58:17,0.8917361111111111,0
1,2014-02-05  23:44:11,2014-02-06  13:06:49,"Accept, no revision",0.5573842592592593,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,155374,Revise only,2014-01-06  12:42:57,2014-01-20  23:53:00,14.4653125,0
1,2014-02-05  23:44:11,2014-02-06  13:06:49,"Accept, no revision",0.5573842592592593,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,31656,Reject,2014-01-06  21:28:08,2014-01-15  19:46:37,8.929502314814815,0
1,2014-02-05  23:44:11,2014-02-06  13:06:49,"Accept, no revision",0.5573842592592593,AEM00003-14,"NA",11,10.1128/AEM.00003-14,2014-02-07  13:16:37,Microbial Ecology,Full-length text,2014-01-01  21:48:56,false,215709,Revise only,2014-01-07  04:34:11,2014-01-08  01:58:17,0.8917361111111111,0
0,2014-04-11  17:45:51,2014-04-30  08:22:14,Reject,18.608599537037037,AEM01118-14,AEM03758-13,5,"NA","NA",Environmental Microbiology,Full-length text,2014-04-11  17:45:51,false,13111,Revise only,2014-04-15  09:08:08,2014-04-17  09:35:43,2.0191550925925927,0
0,2014-04-11  17:45:51,2014-04-30  08:22:14,Reject,18.608599537037037,AEM01118-14,AEM03758-13,5,"NA","NA",Environmental Microbiology,Full-length text,2014-04-11  17:45:51,false,60674,Revise only,2014-04-16  04:07:10,2014-04-29  23:29:20,13.807060185185184,0
0,2014-04-11  17:45:51,2014-04-30  08:22:14,Reject,18.608599537037037,AEM01118-14,AEM03758-13,5,"NA","NA",Environmental Microbiology,Full-length text,2014-04-11  17:45:51,false,52080,Reject,2014-04-16  11:42:13,2014-04-29  15:55:25,13.175833333333333,0
0,2014-06-02  17:51:38,2014-07-17  22:11:51,Reject,45.18070601851852,AEM01507-14,"NA",5,"NA","NA",Food Microbiology,Full-length text,2014-06-02  17:51:38,false,1376,Reject,2014-06-11  09:10:59,2014-07-06  14:15:18,25.211331018518518,0
0,2014-06-02  17:51:38,2014-07-17  22:11:51,Reject,45.18070601851852,AEM01507-14,"NA",5,"NA","NA",Food Microbiology,Full-length text,2014-06-02  17:51:38,false,4198,Revise only,2014-06-12  12:44:56,2014-06-26  13:01:50,14.01173611111111,0
0,2014-06-02  17:51:38,2014-07-17  22:11:51,Reject,45.18070601851852,AEM01507-14,"NA",5,"NA","NA",Food Microbiology,Full-length text,2014-06-02  17:51:38,false,6526,Revise only,2014-06-18  05:43:46,2014-07-10  17:47:33,22.502627314814816,0
0,2014-06-27  14:16:21,2014-07-09  20:31:13,Revise only,12.260324074074074,AEM02130-14,AEM01118-14,5,10.1128/AEM.02130-14,2014-07-17  17:29:13,Environmental Microbiology,Full-length text,2014-06-27  14:16:21,false,"NA","NA","NA","NA",NA,NA
1,2014-07-15  17:48:28,2014-07-17  16:45:23,"Accept, no revision",1.9561921296296296,AEM02130-14,AEM01118-14,5,10.1128/AEM.02130-14,2014-07-17  17:29:13,Environmental Microbiology,Full-length text,2014-06-27  14:16:21,false,"NA","NA","NA","NA",NA,NA
0,2016-07-19  18:06:34,2016-08-08  21:46:18,Reject,20.152592592592594,AEM02150-16,"NA",9,"NA","NA",Environmental Microbiology,Full-length text,2016-07-19  18:06:34,false,142772,Reject,2016-07-24  18:01:47,2016-07-31  20:01:41,7.083263888888889,0
0,2016-07-19  18:06:34,2016-08-08  21:46:18,Reject,20.152592592592594,AEM02150-16,"NA",9,"NA","NA",Environmental Microbiology,Full-length text,2016-07-19  18:06:34,false,11018,Revise only,2016-07-25  11:26:32,2016-08-08  18:30:59,14.294756944444444,0
0,2016-07-19  18:06:34,2016-08-08  21:46:18,Reject,20.152592592592594,AEM02150-16,"NA",9,"NA","NA",Environmental Microbiology,Full-length text,2016-07-19  18:06:34,false,303897,Reject,2016-07-25  11:50:56,2016-08-08  21:40:19,14.409293981481481,0
0,2014-07-21  23:56:05,2014-08-12  18:24:51,Reject,21.76997685185185,AEM02392-14,"NA",6,"NA","NA",Genetics and Molecular Biology,Full-length text,2014-07-21  23:56:05,false,19538,Revise only,2014-07-22  20:46:39,2014-08-04  13:19:09,12.68923611111111,0
0,2014-07-21  23:56:05,2014-08-12  18:24:51,Reject,21.76997685185185,AEM02392-14,"NA",6,"NA","NA",Genetics and Molecular Biology,Full-length text,2014-07-21  23:56:05,false,25030,Reject,2014-07-24  11:50:17,2014-08-06  13:02:00,13.04980324074074,0
0,2014-09-02  11:51:15,2014-10-13  16:04:52,Revise only,41.176122685185184,AEM02856-14,AEM01507-14,5,10.1128/AEM.02856-14,2014-11-05  12:43:01,Food Microbiology,Full-length text,2014-09-02  11:51:15,false,4198,"Accept, no revision",2014-09-14  22:25:22,2014-09-15  11:04:31,0.5271875,0
0,2014-09-02  11:51:15,2014-10-13  16:04:52,Revise only,41.176122685185184,AEM02856-14,AEM01507-14,5,10.1128/AEM.02856-14,2014-11-05  12:43:01,Food Microbiology,Full-length text,2014-09-02  11:51:15,false,6526,Revise only,2014-09-09  06:46:09,2014-10-09  08:22:58,30.067233796296296,0
1,2014-10-22  10:32:36,2014-11-04  19:51:30,"Accept, no revision",13.388125,AEM02856-14,AEM01507-14,5,10.1128/AEM.02856-14,2014-11-05  12:43:01,Food Microbiology,Full-length text,2014-09-02  11:51:15,false,4198,"Accept, no revision",2014-09-14  22:25:22,2014-09-15  11:04:31,0.5271875,0
1,2014-10-22  10:32:36,2014-11-04  19:51:30,"Accept, no revision",13.388125,AEM02856-14,AEM01507-14,5,10.1128/AEM.02856-14,2014-11-05  12:43:01,Food Microbiology,Full-length text,2014-09-02  11:51:15,false,6526,Revise only,2014-09-09  06:46:09,2014-10-09  08:22:58,30.067233796296296,0
0,2014-09-08  18:07:28,2014-10-05  15:26:07,Revise only,26.88795138888889,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,25030,Reject,2014-09-15  13:31:03,2014-09-30  11:55:27,14.93361111111111,0
0,2014-09-08  18:07:28,2014-10-05  15:26:07,Revise only,26.88795138888889,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,11588,Revise only,2014-09-15  14:23:21,2014-09-29  13:01:47,13.943356481481482,0
1,2014-10-10  09:00:21,2014-10-18  15:38:34,Revise only,8.276539351851852,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,25030,Reject,2014-09-15  13:31:03,2014-09-30  11:55:27,14.93361111111111,0
1,2014-10-10  09:00:21,2014-10-18  15:38:34,Revise only,8.276539351851852,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,11588,Revise only,2014-09-15  14:23:21,2014-09-29  13:01:47,13.943356481481482,0
2,2014-10-21  15:15:13,2014-10-21  15:55:40,"Accept, no revision",0.028090277777777777,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,25030,Reject,2014-09-15  13:31:03,2014-09-30  11:55:27,14.93361111111111,0
2,2014-10-21  15:15:13,2014-10-21  15:55:40,"Accept, no revision",0.028090277777777777,AEM02917-14,AEM02392-14,6,10.1128/AEM.02917-14,2014-10-22  11:51:34,Methods,Full-length text,2014-09-08  18:07:28,false,11588,Revise only,2014-09-15  14:23:21,2014-09-29  13:01:47,13.943356481481482,0
0,2016-11-07  13:10:30,2016-11-25  19:10:05,Revise only,18.24971064814815,AEM03057-16,"NA",11,10.1128/AEM.03057-16,2016-12-14  09:03:24,Environmental Microbiology,Full-length text,2016-11-07  13:10:30,false,11018,Revise only,2016-11-08  11:47:53,2016-11-25  16:42:38,17.2046875,0
0,2016-11-07  13:10:30,2016-11-25  19:10:05,Revise only,18.24971064814815,AEM03057-16,"NA",11,10.1128/AEM.03057-16,2016-12-14  09:03:24,Environmental Microbiology,Full-length text,2016-11-07  13:10:30,false,423929,Revise only,2016-11-08  20:17:36,2016-11-21  23:13:02,13.121828703703704,0
1,2016-12-13  10:45:50,2016-12-13  16:08:24,"Accept, no revision",0.22400462962962964,AEM03057-16,"NA",11,10.1128/AEM.03057-16,2016-12-14  09:03:24,Environmental Microbiology,Full-length text,2016-11-07  13:10:30,false,11018,Revise only,2016-11-08  11:47:53,2016-11-25  16:42:38,17.2046875,0
1,2016-12-13  10:45:50,2016-12-13  16:08:24,"Accept, no revision",0.22400462962962964,AEM03057-16,"NA",11,10.1128/AEM.03057-16,2016-12-14  09:03:24,Environmental Microbiology,Full-length text,2016-11-07  13:10:30,false,423929,Revise only,2016-11-08  20:17:36,2016-11-21  23:13:02,13.121828703703704,0
